# Mink brook
# Flow(m/s), Stage(m)
0.095,0.050
0.489,0.052
-0.029,0.055
0.302,0.058
0.076,0.060
-0.012,0.062
-0.182,0.065
0.292,0.068
0.227,0.070
0.242,0.072
0.024,0.075
0.208,0.077
0.241,0.080
0.136,0.083
0.116,0.085
0.387,0.088
0.238,0.090
0.058,0.092
0.191,0.095
-0.101,0.098
-0.107,0.100
0.055,0.103
0.248,0.105
0.077,0.107
0.092,0.110
0.163,0.113
0.077,0.115
0.008,0.118
0.069,0.120
0.190,0.122
-0.018,0.125
0.205,0.128
0.340,0.130
0.249,0.133
0.157,0.135
0.361,0.138
0.161,0.140
-0.119,0.143
0.237,0.145
0.326,0.147
0.203,0.150
0.160,0.152
0.385,0.155
0.165,0.158
0.363,0.160
0.174,0.163
-0.135,0.165
0.403,0.168
0.387,0.170
0.284,0.173
0.267,0.175
0.272,0.177
-0.040,0.180
0.234,0.182
0.089,0.185
0.160,0.188
0.070,0.190
0.054,0.193
0.059,0.195
0.247,0.198
-0.018,0.200
-0.149,0.203
0.486,0.205
0.112,0.208
0.036,0.210
0.039,0.212
0.293,0.215
0.321,0.217
0.262,0.220
0.263,0.223
0.165,0.225
0.168,0.228
0.166,0.230
0.586,0.233
0.137,0.235
0.013,0.238
0.396,0.240
0.328,0.242
0.329,0.245
0.405,0.247
0.260,0.250
0.116,0.253
0.306,0.255
0.133,0.258
0.252,0.260
0.264,0.263
0.399,0.265
0.100,0.268
0.220,0.270
0.300,0.273
0.089,0.275
0.277,0.278
0.195,0.280
0.283,0.283
0.059,0.285
0.105,0.288
0.287,0.290
0.337,0.292
0.188,0.295
0.149,0.297
0.585,0.300
0.639,0.302
0.466,0.305
0.026,0.307
0.430,0.310
0.218,0.312
0.369,0.315
0.532,0.318
0.477,0.320
0.143,0.323
0.371,0.325
0.345,0.328
0.188,0.330
0.308,0.333
0.341,0.335
0.028,0.338
0.227,0.340
0.415,0.343
0.405,0.345
0.311,0.348
-0.014,0.350
0.123,0.352
0.415,0.355
0.160,0.357
0.442,0.360
0.675,0.362
0.204,0.365
0.106,0.367
0.230,0.370
0.332,0.372
0.345,0.375
0.339,0.378
0.549,0.380
0.320,0.383
0.194,0.385
0.725,0.388
0.359,0.390
0.457,0.393
0.304,0.395
0.314,0.398
0.529,0.400
0.391,0.403
0.305,0.405
0.479,0.408
0.238,0.410
0.270,0.413
0.283,0.415
0.237,0.417
0.260,0.420
0.343,0.422
0.332,0.425
0.408,0.427
0.223,0.430
0.298,0.432
0.594,0.435
0.336,0.438
0.468,0.440
0.172,0.443
0.598,0.445
0.613,0.448
0.416,0.450
0.304,0.453
0.304,0.455
0.374,0.458
0.634,0.460
0.342,0.463
0.186,0.465
0.438,0.468
0.359,0.470
0.522,0.473
0.476,0.475
0.452,0.478
0.591,0.480
0.521,0.482
0.283,0.485
0.556,0.487
0.385,0.490
0.219,0.492
0.676,0.495
0.104,0.497
0.230,0.500
0.193,0.503
0.674,0.505
0.191,0.508
0.480,0.510
0.337,0.512
0.477,0.515
0.234,0.517
0.718,0.520
0.406,0.522
0.183,0.525
0.537,0.527
0.213,0.530
0.298,0.532
0.259,0.535
0.286,0.537
0.474,0.540
0.604,0.542
0.401,0.545
0.536,0.547
0.504,0.550
0.708,0.552
0.309,0.555
0.472,0.557
0.628,0.560
0.205,0.562
0.670,0.565
0.379,0.568
0.546,0.570
0.502,0.573
0.700,0.575
0.561,0.578
