Serial_number:
2066548
Project ID:
MacLeish
Location:
MFS1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
10/1/2019,12:08:18 am,0,12.249,11.00
10/1/2019,12:18:18 am,0,12.246,11.00
10/1/2019,12:28:18 am,0,12.245,11.00
10/1/2019,12:38:18 am,0,12.243,11.00
10/1/2019,12:48:18 am,0,12.240,11.00
10/1/2019,12:58:18 am,0,12.240,11.00
10/1/2019,01:08:18 am,0,12.239,11.00
10/1/2019,01:18:18 am,0,12.239,11.00
10/1/2019,01:28:18 am,0,12.239,11.00
10/1/2019,01:38:18 am,0,12.237,11.00
10/1/2019,01:48:18 am,0,12.237,11.00
10/1/2019,01:58:18 am,0,12.237,11.00
10/1/2019,02:08:18 am,0,12.237,11.00
10/1/2019,02:18:18 am,0,12.234,11.00
10/1/2019,02:28:18 am,0,12.231,11.00
10/1/2019,02:38:18 am,0,12.228,11.00
10/1/2019,02:48:18 am,0,12.227,11.00
10/1/2019,02:58:18 am,0,12.225,11.00
10/1/2019,03:08:18 am,0,12.225,11.00
10/1/2019,03:18:18 am,0,12.225,11.00
10/1/2019,03:28:18 am,0,12.224,11.00
10/1/2019,03:38:18 am,0,12.225,11.00
10/1/2019,03:48:18 am,0,12.222,11.00
10/1/2019,03:58:18 am,0,12.219,11.00
10/1/2019,04:08:18 am,0,12.219,11.00
10/1/2019,04:18:18 am,0,12.221,11.00
10/1/2019,04:28:18 am,0,12.219,11.00
10/1/2019,04:38:18 am,0,12.216,11.00
10/1/2019,04:48:18 am,0,12.216,11.00
10/1/2019,04:58:18 am,0,12.213,11.00
10/1/2019,05:08:18 am,0,12.215,11.00
10/1/2019,05:18:18 am,0,12.215,11.00
10/1/2019,05:28:18 am,0,12.213,11.00
10/1/2019,05:38:18 am,0,12.213,11.00
10/1/2019,05:48:18 am,0,12.210,11.00
10/1/2019,05:58:18 am,0,12.210,11.00
10/1/2019,06:08:18 am,0,12.207,11.00
10/1/2019,06:18:18 am,0,12.207,11.00
10/1/2019,06:28:18 am,0,12.207,11.00
10/1/2019,06:38:18 am,0,12.210,11.00
10/1/2019,06:48:18 am,0,12.210,11.00
10/1/2019,06:58:18 am,0,12.210,11.00
10/1/2019,07:08:18 am,0,12.212,11.00
10/1/2019,07:18:18 am,0,12.210,11.00
10/1/2019,07:28:18 am,0,12.209,11.00
10/1/2019,07:38:18 am,0,12.210,11.00
10/1/2019,07:48:18 am,0,12.213,11.00
10/1/2019,07:58:18 am,0,12.212,11.00
10/1/2019,08:08:18 am,0,12.209,11.00
10/1/2019,08:18:18 am,0,12.209,11.00
10/1/2019,08:28:18 am,0,12.207,11.00
10/1/2019,08:38:18 am,0,12.207,11.00
10/1/2019,08:48:18 am,0,12.206,11.00
10/1/2019,08:58:18 am,0,12.207,11.00
10/1/2019,09:08:18 am,0,12.207,11.00
10/1/2019,09:18:18 am,0,12.209,11.00
10/1/2019,09:28:18 am,0,12.206,11.00
10/1/2019,09:38:18 am,0,12.198,11.00
10/1/2019,09:48:18 am,0,12.204,11.00
10/1/2019,09:58:18 am,0,12.203,11.00
10/1/2019,10:08:18 am,0,12.201,11.00
10/1/2019,10:18:18 am,0,12.203,11.00
10/1/2019,10:28:18 am,0,12.198,11.00
10/1/2019,10:38:18 am,0,12.192,11.00
10/1/2019,10:48:18 am,0,12.194,11.00
10/1/2019,10:58:18 am,0,12.198,11.00
10/1/2019,11:08:18 am,0,12.195,11.00
10/1/2019,11:18:18 am,0,12.191,11.00
10/1/2019,11:28:18 am,0,12.191,11.00
10/1/2019,11:38:18 am,0,12.194,11.00
10/1/2019,11:48:18 am,0,12.195,11.00
10/1/2019,11:58:18 am,0,12.191,11.00
10/1/2019,12:08:18 pm,0,12.185,11.00
10/1/2019,12:18:18 pm,0,12.185,11.00
10/1/2019,12:28:18 pm,0,12.183,11.00
10/1/2019,12:38:18 pm,0,12.180,11.00
10/1/2019,12:48:18 pm,0,12.179,11.00
10/1/2019,12:58:18 pm,0,12.177,11.00
10/1/2019,01:08:18 pm,0,12.176,11.00
10/1/2019,01:18:18 pm,0,12.174,11.00
10/1/2019,01:28:18 pm,0,12.171,11.00
10/1/2019,01:38:18 pm,0,12.170,11.00
10/1/2019,01:48:18 pm,0,12.168,11.00
10/1/2019,01:58:18 pm,0,12.167,11.00
10/1/2019,02:08:18 pm,0,12.167,11.00
10/1/2019,02:18:18 pm,0,12.165,11.00
10/1/2019,02:28:18 pm,0,12.164,11.00
10/1/2019,02:38:18 pm,0,12.165,11.00
10/1/2019,02:48:18 pm,0,12.162,11.00
10/1/2019,02:58:18 pm,0,12.162,11.00
10/1/2019,03:08:18 pm,0,12.162,11.00
10/1/2019,03:18:18 pm,0,12.161,11.00
10/1/2019,03:28:18 pm,0,12.162,11.00
10/1/2019,03:38:18 pm,0,12.162,11.00
10/1/2019,03:48:18 pm,0,12.159,11.00
10/1/2019,03:58:18 pm,0,12.156,11.00
10/1/2019,04:08:18 pm,0,12.156,11.00
10/1/2019,04:18:18 pm,0,12.156,11.00
10/1/2019,04:28:18 pm,0,12.155,11.00
10/1/2019,04:38:18 pm,0,12.153,11.00
10/1/2019,04:48:18 pm,0,12.153,11.00
10/1/2019,04:58:18 pm,0,12.150,11.00
10/1/2019,05:08:18 pm,0,12.150,11.00
10/1/2019,05:18:18 pm,0,12.149,11.00
10/1/2019,05:28:18 pm,0,12.150,11.00
10/1/2019,05:38:18 pm,0,12.150,11.00
10/1/2019,05:48:18 pm,0,12.150,11.00
10/1/2019,05:58:18 pm,0,12.149,11.00
10/1/2019,06:08:18 pm,0,12.149,11.00
10/1/2019,06:18:18 pm,0,12.149,11.00
10/1/2019,06:28:18 pm,0,12.149,11.00
10/1/2019,06:38:18 pm,0,12.147,11.00
10/1/2019,06:48:18 pm,0,12.146,11.00
10/1/2019,06:58:18 pm,0,12.144,11.00
10/1/2019,07:08:18 pm,0,12.143,11.00
10/1/2019,07:18:18 pm,0,12.143,11.00
10/1/2019,07:28:18 pm,0,12.141,11.00
10/1/2019,07:38:18 pm,0,12.140,11.00
10/1/2019,07:48:18 pm,0,12.138,11.00
10/1/2019,07:58:18 pm,0,12.138,11.00
