543ODP677AODP 677 Planktonic O-18
Size fraction: medium
ODP 677A 1 deg 12.138' N 83 deg 44' W water depth 3472.3 m
ODP 677B 1 deg 13.006' N 83 deg 43.392' W water depth 3446.8 m
see also proc ODP sci res, vol 111, p227 ff
ages are by astronomical correlation.
Agemodel for 677 27.04.89
format(A16,f8.2,f9.4,A12,f8.2)
sample ID, depth age, species planktonic 18O
A 87/1004ODP677A    0.40   0.0060   GRUBER C    -2.22
A 87/1005ODP677A    0.50   0.0080   GRUBER C    -1.73
A 87/1006ODP677A    0.60   0.0090   GRUBER C    -1.16
A 87/1007ODP677A    0.68   0.0110   GRUBER C    -1.23
A 87/1274ODP677A    0.80   0.0120   GRUBER C    -0.89
A 87/1340ODP677A    0.80   0.0120   GRUBER C    -1.12
A 87/1253ODP677A    0.90   0.0140   GRUBER C    -0.87
A 87/1010ODP677A    0.98   0.0150   GRUBER C    -0.69
A 87/1227ODP677A    1.10   0.0170   GRUBER C    -0.45
A 87/ 998ODP677A    1.20   0.0190   GRUBER C    -0.66
A 87/ 999ODP677A    1.30   0.0210   GRUBER C    -0.46
A 87/1000ODP677A    1.40   0.0220   GRUBER C    -0.63
A 87/1226ODP677A    1.50   0.0240   GRUBER C    -0.73
A 87/1225ODP677A    1.60   0.0250   GRUBER C    -0.77
A 87/1224ODP677A    1.70   0.0270   GRUBER C    -0.84
A 87/1223ODP677A    1.80   0.0290   GRUBER C    -0.62
A 87/1222ODP677A    1.90   0.0300   GRUBER C    -0.97
A 87/1259ODP677A    2.00   0.0320   GRUBER C    -1.25
A 88/ 868ODP677A    2.00   0.0320   GRUBER C    -1.21
A 87/1251ODP677A    2.10   0.0340   GRUBER C    -0.98
A 88/ 869ODP677A    2.10   0.0340   GRUBER C    -1.05
A 87/1209ODP677A    2.20   0.0350   GRUBER C    -1.05
A 88/ 870ODP677A    2.20   0.0350   GRUBER C    -1.10
A 87/1208ODP677A    2.30   0.0370   GRUBER C    -1.29
A 87/1207ODP677A    2.40   0.0380   GRUBER C    -1.26
A 87/1206ODP677A    2.47   0.0390   GRUBER C    -1.12
A 87/1205ODP677A    2.58   0.0410   GRUBER C    -1.24
A 87/1204ODP677A    2.70   0.0430   GRUBER C    -1.17
A 87/1203ODP677A    2.80   0.0450   GRUBER C    -1.35
A 87/1202ODP677A    2.90   0.0460   GRUBER C    -1.16
A 87/1201ODP677A    3.03   0.0490   GRUBER C    -1.55
A 87/1200ODP677A    3.10   0.0500   GRUBER C    -1.41
A 87/1199ODP677A    3.20   0.0510   GRUBER C    -1.52
A 87/1198ODP677A    3.30   0.0530   GRUBER C    -1.47
A 87/1197ODP677A    3.40   0.0550   GRUBER C    -1.48
A 87/1196ODP677A    3.50   0.0560   GRUBER C    -1.13
